,finance_cd,finance_nm,finance_path
1,0010619,DB생명보험주식회사,생명보험\국내생보사\DB생명보험주식회사
2,0010605,DGB생명보험주식회사,생명보험\국내생보사\DGB생명보험주식회사
3,0010616,KB라이프생명보험,생명보험\국내생보사\KB라이프생명보험
6,0013436,교보라이프플래닛생명보험주식회사,생명보험\국내생보사\교보라이프플래닛생명보험주식회사
7,0010597,교보생명보험주식회사,생명보험\국내생보사\교보생명보험주식회사
10,0013173,농협생명보험주식회사,생명보험\국내생보사\농협생명보험주식회사
14,0010608,미래에셋생명보험주식회사,생명보험\국내생보사\미래에셋생명보험주식회사
15,0010595,삼성생명보험주식회사,생명보험\국내생보사\삼성생명보험주식회사
17,0010599,신한라이프생명보험주식회사,생명보험\국내생보사\신한라이프생명보험주식회사
18,0012455,아이비케이연금보험 주식회사,생명보험\국내생보사\아이비케이연금보험 주식회사
22,0010607,케이디비생명보험주식회사,생명보험\국내생보사\케이디비생명보험주식회사
25,0010618,하나생명보험주식회사,생명보험\국내생보사\하나생명보험주식회사
28,0010593,한화생명보험주식회사,생명보험\국내생보사\한화생명보험주식회사
30,0010596,흥국생명보험주식회사,생명보험\국내생보사\흥국생명보험주식회사
32,0010622,동양생명보험주식회사,생명보험\외국생보사\동양생명보험주식회사
34,0011434,라이나생명보험주식회사,생명보험\외국생보사\라이나생명보험주식회사
35,0010620,메트라이프생명보험(주),생명보험\외국생보사\메트라이프생명보험(주)
36,0011226,비엔피파리바카디프생명보험주식회사,생명보험\외국생보사\비엔피파리바카디프생명보험주식회사
37,0010594,에이비엘생명보험주식회사,생명보험\외국생보사\에이비엘생명보험주식회사
38,0010615,에이아이에이생명보험 주식회사,생명보험\외국생보사\에이아이에이생명보험 주식회사
39,0010625,처브라이프생명보험주식회사,생명보험\외국생보사\처브라이프생명보험주식회사
41,0011320,푸본현대생명보험주식회사,생명보험\외국생보사\푸본현대생명보험주식회사
